,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,label
20,300.62,300.63,300.65,300.67,300.68,300.7,300.71,300.73,300.74,300.76,300.77,300.79,1805100000.0,1806000000.0,1806900000.0,1807800000.0,1808600000.0,1809600000.0,1810500000.0,1811500000.0,1812400000.0,1813400000.0,1814300000.0,1815300000.0,0.0,0.0,0.11811,0.98425,1.8504,0.51181,0.15748,0.0,0.0,0.0,0.0,0.03937,16.889,16.256,13.406,11.172,8.3222,13.256,13.644,14.211,13.217,14.122,15.556,14.767,-12.0,-22.0,-14.0,-26.0,-20.0,-22.0,-30.0,-25.0,-26.0,-43.0,-33.0,-26.0,163.36,ML
21,300.63,300.65,300.67,300.68,300.7,300.71,300.73,300.74,300.76,300.77,300.79,300.81,1806000000.0,1806900000.0,1807800000.0,1808600000.0,1809600000.0,1810500000.0,1811500000.0,1812400000.0,1813400000.0,1814300000.0,1815300000.0,1816200000.0,0.0,0.11811,0.98425,1.8504,0.51181,0.15748,0.0,0.0,0.0,0.0,0.03937,0.15748,16.256,13.406,11.172,8.3222,13.256,13.644,14.211,13.217,14.122,15.556,14.767,16.767,-22.0,-14.0,-26.0,-20.0,-22.0,-30.0,-25.0,-26.0,-43.0,-33.0,-26.0,-29.0,95.452,LL
22,300.65,300.67,300.68,300.7,300.71,300.73,300.74,300.76,300.77,300.79,300.81,300.82,1806900000.0,1807800000.0,1808600000.0,1809600000.0,1810500000.0,1811500000.0,1812400000.0,1813400000.0,1814300000.0,1815300000.0,1816200000.0,1817100000.0,0.11811,0.98425,1.8504,0.51181,0.15748,0.0,0.0,0.0,0.0,0.03937,0.15748,0.07874,13.406,11.172,8.3222,13.256,13.644,14.211,13.217,14.122,15.556,14.767,16.767,13.856,-14.0,-26.0,-20.0,-22.0,-30.0,-25.0,-26.0,-43.0,-33.0,-26.0,-29.0,-28.0,73.297,LL
23,300.67,300.68,300.7,300.71,300.73,300.74,300.76,300.77,300.79,300.81,300.82,300.84,1807800000.0,1808600000.0,1809600000.0,1810500000.0,1811500000.0,1812400000.0,1813400000.0,1814300000.0,1815300000.0,1816200000.0,1817100000.0,1818100000.0,0.98425,1.8504,0.51181,0.15748,0.0,0.0,0.0,0.0,0.03937,0.15748,0.07874,0.19685,11.172,8.3222,13.256,13.644,14.211,13.217,14.122,15.556,14.767,16.767,13.856,12.461,-26.0,-20.0,-22.0,-30.0,-25.0,-26.0,-43.0,-33.0,-26.0,-29.0,-28.0,-43.0,87.774,LL
24,300.68,300.7,300.71,300.73,300.74,300.76,300.77,300.79,300.81,300.82,300.84,300.85,1808600000.0,1809600000.0,1810500000.0,1811500000.0,1812400000.0,1813400000.0,1814300000.0,1815300000.0,1816200000.0,1817100000.0,1818100000.0,1819000000.0,1.8504,0.51181,0.15748,0.0,0.0,0.0,0.0,0.03937,0.15748,0.07874,0.19685,0.21654,8.3222,13.256,13.644,14.211,13.217,14.122,15.556,14.767,16.767,13.856,12.461,9.3722,-20.0,-22.0,-30.0,-25.0,-26.0,-43.0,-33.0,-26.0,-29.0,-28.0,-43.0,-78.0,215.77,HL
25,300.7,300.71,300.73,300.74,300.76,300.77,300.79,300.81,300.82,300.84,300.85,300.87,1809600000.0,1810500000.0,1811500000.0,1812400000.0,1813400000.0,1814300000.0,1815300000.0,1816200000.0,1817100000.0,1818100000.0,1819000000.0,1820000000.0,0.51181,0.15748,0.0,0.0,0.0,0.0,0.03937,0.15748,0.07874,0.19685,0.21654,0.23622,13.256,13.644,14.211,13.217,14.122,15.556,14.767,16.767,13.856,12.461,9.3722,8.6556,-22.0,-30.0,-25.0,-26.0,-43.0,-33.0,-26.0,-29.0,-28.0,-43.0,-78.0,-47.0,127.34,ML
26,300.71,300.73,300.74,300.76,300.77,300.79,300.81,300.82,300.84,300.85,300.87,300.88,1810500000.0,1811500000.0,1812400000.0,1813400000.0,1814300000.0,1815300000.0,1816200000.0,1817100000.0,1818100000.0,1819000000.0,1820000000.0,1821000000.0,0.15748,0.0,0.0,0.0,0.0,0.03937,0.15748,0.07874,0.19685,0.21654,0.23622,0.55118,13.644,14.211,13.217,14.122,15.556,14.767,16.767,13.856,12.461,9.3722,8.6556,11.222,-30.0,-25.0,-26.0,-43.0,-33.0,-26.0,-29.0,-28.0,-43.0,-78.0,-47.0,-55.0,81.806,LL
27,300.73,300.74,300.76,300.77,300.79,300.81,300.82,300.84,300.85,300.87,300.88,300.9,1811500000.0,1812400000.0,1813400000.0,1814300000.0,1815300000.0,1816200000.0,1817100000.0,1818100000.0,1819000000.0,1820000000.0,1821000000.0,1822000000.0,0.0,0.0,0.0,0.0,0.03937,0.15748,0.07874,0.19685,0.21654,0.23622,0.55118,0.19685,14.211,13.217,14.122,15.556,14.767,16.767,13.856,12.461,9.3722,8.6556,11.222,10.933,-25.0,-26.0,-43.0,-33.0,-26.0,-29.0,-28.0,-43.0,-78.0,-47.0,-55.0,-49.0,25.363,VLL
28,300.74,300.76,300.77,300.79,300.81,300.82,300.84,300.85,300.87,300.88,300.9,300.92,1812400000.0,1813400000.0,1814300000.0,1815300000.0,1816200000.0,1817100000.0,1818100000.0,1819000000.0,1820000000.0,1821000000.0,1822000000.0,1823000000.0,0.0,0.0,0.0,0.03937,0.15748,0.07874,0.19685,0.21654,0.23622,0.55118,0.19685,0.03937,13.217,14.122,15.556,14.767,16.767,13.856,12.461,9.3722,8.6556,11.222,10.933,12.833,-26.0,-43.0,-33.0,-26.0,-29.0,-28.0,-43.0,-78.0,-47.0,-55.0,-49.0,-39.0,-0.74194,VLL
29,300.76,300.77,300.79,300.81,300.82,300.84,300.85,300.87,300.88,300.9,300.92,300.93,1813400000.0,1814300000.0,1815300000.0,1816200000.0,1817100000.0,1818100000.0,1819000000.0,1820000000.0,1821000000.0,1822000000.0,1823000000.0,1824000000.0,0.0,0.0,0.03937,0.15748,0.07874,0.19685,0.21654,0.23622,0.55118,0.19685,0.03937,0.0,14.122,15.556,14.767,16.767,13.856,12.461,9.3722,8.6556,11.222,10.933,12.833,12.211,-43.0,-33.0,-26.0,-29.0,-28.0,-43.0,-78.0,-47.0,-55.0,-49.0,-39.0,-49.0,18.23,VLL
30,300.77,300.79,300.81,300.82,300.84,300.85,300.87,300.88,300.9,300.92,300.93,300.94,1814300000.0,1815300000.0,1816200000.0,1817100000.0,1818100000.0,1819000000.0,1820000000.0,1821000000.0,1822000000.0,1823000000.0,1824000000.0,1825100000.0,0.0,0.03937,0.15748,0.07874,0.19685,0.21654,0.23622,0.55118,0.19685,0.03937,0.0,0.0,15.556,14.767,16.767,13.856,12.461,9.3722,8.6556,11.222,10.933,12.833,12.211,14.778,-33.0,-26.0,-29.0,-28.0,-43.0,-78.0,-47.0,-55.0,-49.0,-39.0,-49.0,-40.0,83.774,LL
31,300.79,300.81,300.82,300.84,300.85,300.87,300.88,300.9,300.92,300.93,300.94,300.96,1815300000.0,1816200000.0,1817100000.0,1818100000.0,1819000000.0,1820000000.0,1821000000.0,1822000000.0,1823000000.0,1824000000.0,1825100000.0,1826100000.0,0.03937,0.15748,0.07874,0.19685,0.21654,0.23622,0.55118,0.19685,0.03937,0.0,0.0,0.0,14.767,16.767,13.856,12.461,9.3722,8.6556,11.222,10.933,12.833,12.211,14.778,15.456,-26.0,-29.0,-28.0,-43.0,-78.0,-47.0,-55.0,-49.0,-39.0,-49.0,-40.0,-22.0,82.097,LL
32,300.81,300.82,300.84,300.85,300.87,300.88,300.9,300.92,300.93,300.94,300.96,300.98,1816200000.0,1817100000.0,1818100000.0,1819000000.0,1820000000.0,1821000000.0,1822000000.0,1823000000.0,1824000000.0,1825100000.0,1826100000.0,1827100000.0,0.15748,0.07874,0.19685,0.21654,0.23622,0.55118,0.19685,0.03937,0.0,0.0,0.0,0.0,16.767,13.856,12.461,9.3722,8.6556,11.222,10.933,12.833,12.211,14.778,15.456,14.156,-29.0,-28.0,-43.0,-78.0,-47.0,-55.0,-49.0,-39.0,-49.0,-40.0,-22.0,-26.0,93.63,LL
